time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
4,0.009999999776482582,48.0,652,0.003,384,35,0.03141355141997337,0,14.428941125,-0.5371469259262085,,,,,,,,,,
8,,48.0,644,,384,,,0,14.428941125,,,,,,,,,,,
12,0.009999999776482582,48.0,630,0.003,768,83,0.01854107156395912,1,17.336027375,-0.6986086964607239,,,,,,,,,,
16,,48.0,626,,768,,,1,17.336027375,,,,,,,,,,,
20,0.009999999776482582,48.0,543,0.003,1152,131,0.016721578314900398,2,18.481497583333333,-0.7812452912330627,0.5896855942500657,0.3701629694716647,0.11676078907234386,0.5217457684588326,0.9572368421052632,0.111176172120017,0.17592902693224782,0.06848490327989888,0.9368353715345975,0.40939510071965685
24,,48.0,539,,1152,,,2,18.481497583333333,,,,,,,,,,,
28,0.009999999776482582,48.0,555,0.003,1536,179,0.0176041591912508,2,18.98844590625,-0.8840451240539551,,,,,,,,,,
32,,48.0,553,,1536,,,2,18.98844590625,,,,,,,,,,,
36,0.009999999776482582,48.0,507,0.003,1920,227,0.017791112884879112,3,19.516483675,-0.9490153193473816,0.5752356288665464,0.27824684273692113,0.08614678599549087,0.3972615584688178,0.975877192982456,0.13056755294987013,0.18374881091026654,0.07164813626373197,0.9487646779833199,0.5722086839185156
40,,48.0,506,,1920,,,3,19.516483675,,,,,,,,,,,
44,0.009999999776482582,48.0,520,0.003,2304,275,0.0148447435349226,4,19.732726041666666,-1.066516399383545,,,,,,,,,,
48,,48.0,520,,2304,,,4,19.732726041666666,,,,,,,,,,,
52,0.009999999776482582,48.0,493,0.003,2688,323,0.014123795554041862,5,19.815758089285712,-1.1359175443649292,0.5760100569541553,0.14412780818158763,0.0,0.6408930764775754,1.0,0.1985862408409949,0.16274195870212008,0.21098336952574895,0.8211755695989345,0.8314585870281245
56,,48.0,492,,2688,,,5,19.815758089285712,,,,,,,,,,,
60,0.009999999776482582,48.0,472,0.003,3072,371,0.02722742035984993,6,19.994008734375,-1.2083324193954468,,,,,,,,,,
64,,48.0,471,,3072,,,6,19.994008734375,,,,,,,,,,,
68,0.009999999776482582,48.0,464,0.003,3456,419,0.022396069020032883,7,20.111606597222224,-1.3467286825180054,0.5854369351472702,0.19657653542914094,0.0,0.8069476914302077,1.0,0.22862208755730373,0.14647014431719219,0.20886823130483648,0.8112456364888725,0.7807894089655687
72,,48.0,463,,3456,,,7,20.111606597222224,,,,,,,,,,,
76,0.009999999776482582,48.0,474,0.003,3840,467,0.012186409905552864,8,20.1965997625,-1.427388072013855,,,,,,,,,,
80,,48.0,474,,3840,,,8,20.1965997625,,,,,,,,,,,
84,0.009999999776482582,48.0,466,0.003,4224,515,0.028332680463790894,9,20.30333055681818,-1.442681908607483,0.5891352690874186,0.06825824548177238,0.0,0.7579881029122597,1.0,0.17380750976320897,0.0905939765500704,0.1200308471069709,0.8797257297490731,0.8594366399264536
88,,48.0,465,,4224,,,9,20.30333055681818,,,,,,,,,,,
92,0.009999999776482582,48.0,474,0.003,4608,563,0.01683124713599682,9,20.369587739583334,-1.5390710830688477,,,,,,,,,,
96,,48.0,474,,4608,,,9,20.369587739583334,,,,,,,,,,,
100,0.009999999776482582,48.0,469,0.003,4992,611,0.01306089200079441,10,20.69007362,-1.672215223312378,0.5970785683851407,0.09548300855910007,0.0,0.6666111183062758,1.0,0.1529679079909139,0.1851165809603171,0.16528583560165513,0.8481802153941728,0.8425955713666903
104,,48.0,468,,4992,,,10,20.69007362,,,,,,,,,,,
108,0.009999999776482582,48.0,477,0.003,5376,659,0.012359783984720707,11,21.01912116,-1.7002243995666504,,,,,,,,,,
112,,48.0,476,,5376,,,11,21.01912116,,,,,,,,,,,
116,0.009999999776482582,48.0,470,0.003,5760,707,0.012623714283108711,12,21.098882090000004,-1.7745552062988281,0.5946302097758182,0.056048793838581405,0.0,0.6171865344916938,1.0,0.15866915324434164,0.09872326582665045,0.10985767816107377,0.8941491353866197,0.8829550161308859
120,,48.0,470,,5760,,,12,21.098882090000004,,,,,,,,,,,
124,0.009999999776482582,48.0,477,0.003,6144,755,0.014822898432612419,12,21.174518799999998,-1.8461796045303345,,,,,,,,,,
128,,48.0,477,,6144,,,12,21.174518799999998,,,,,,,,,,,
132,0.009999999776482582,48.0,472,0.003,6528,803,0.009065859019756317,13,21.200028160000002,-1.9542109966278076,0.5703833226162662,0.08427240522174577,0.0,0.5690179129905497,1.0,0.15500652457245986,0.07941206004586882,0.09635404293933249,0.9150642580513243,0.8692439127596744
136,,48.0,471,,6528,,,13,21.200028160000002,,,,,,,,,,,
140,0.009999999776482582,48.0,476,0.003,6912,851,0.005777016282081604,14,21.260935739999994,-1.9874064922332764,,,,,,,,,,
144,,48.0,476,,6912,,,14,21.260935739999994,,,,,,,,,,,
148,0.009999999776482582,48.0,472,0.003,7296,899,0.00570299057289958,15,21.329338170000007,-2.0794408321380615,0.5823903343896735,0.07252750193979737,0.0,0.5786441190771561,1.0,0.17856485856595397,0.08472141855911643,0.12083568823948208,0.8928064020910232,0.8744713970248267
152,,48.0,472,,7296,,,15,21.329338170000007,,,,,,,,,,,
156,0.009999999776482582,48.0,478,0.003,7680,947,0.003680652007460594,16,21.378126439999996,-2.197394371032715,,,,,,,,,,
160,,48.0,478,,7680,,,16,21.378126439999996,,,,,,,,,,,
164,0.009999999776482582,48.0,473,0.003,8064,995,0.009334507398307323,17,21.421598210000003,-2.2517294883728027,0.5685801214987937,0.07564303222958252,0.0,0.6455072776048417,1.0,0.1771788853278353,0.07652428378467496,0.11588832947039812,0.8989482307301899,0.882042493347801
168,,48.0,473,,8064,,,17,21.421598210000003,,,,,,,,,,,
172,0.009999999776482582,48.0,478,0.003,8448,1043,0.004146549850702286,17,21.470429799999998,-2.301909923553467,,,,,,,,,,
176,,48.0,478,,8448,,,17,21.470429799999998,,,,,,,,,,,
180,0.009999999776482582,48.0,475,0.003,8832,1091,0.0060596466064453125,18,21.49314238,-2.4042863845825195,0.5622754742930373,0.0788279809380092,0.0,0.6141993929798156,1.0,0.17529986606735418,0.06989607083214415,0.1036107986469109,0.9043316279736507,0.875659172841063
184,,48.0,475,,8832,,,18,21.49314238,,,,,,,,,,,
188,0.009999999776482582,48.0,479,0.003,9216,1139,0.004828290082514286,19,21.52243092,-2.482468843460083,,,,,,,,,,
192,,48.0,479,,9216,,,19,21.52243092,,,,,,,,,,,
196,0.009999999776482582,48.0,476,0.003,9600,1187,0.005768239498138428,20,21.528749620000003,-2.5979297161102295,0.5978954586489144,0.059984588870453735,0.0,0.678117791330901,1.0,0.1924814568340183,0.056478485997619295,0.08296215811482999,0.9138485519851148,0.8668067031632352
200,,48.0,476,,9600,,,20,21.528749620000003,,,,,,,,,,,
204,0.009999999776482582,48.0,470,0.003,9984,1235,0.005541329737752676,21,21.53491757,-2.639146566390991,,,,,,,,,,
208,,48.0,469,,9984,,,21,21.53491757,,,,,,,,,,,
212,0.009999999776482582,48.0,474,0.003,10368,1283,0.00351819209754467,21,21.529547889999993,-2.748195171356201,,,,,,,,,,
216,,48.0,474,,10368,,,21,21.529547889999993,,,,,,,,,,,
220,0.009999999776482582,48.0,471,0.003,10752,1331,0.005229775793850422,22,21.542220790000002,-2.869093418121338,0.581368758767887,0.05830188158133491,0.0,0.7337780269694222,1.0,0.15058925978077597,0.043273337304295015,0.0956979182935374,0.9028972130030193,0.8787577093519198
224,,48.0,470,,10752,,,22,21.542220790000002,,,,,,,,,,,
228,0.009999999776482582,48.0,474,0.003,11136,1379,0.010122707113623619,23,21.51319281,-2.860490322113037,,,,,,,,,,
232,,48.0,474,,11136,,,23,21.51319281,,,,,,,,,,,
236,0.009999999776482582,48.0,472,0.003,11520,1427,0.004625711590051651,24,21.50269731,-2.947232723236084,0.601915313844924,0.05558482790839574,0.0,0.6851308239618993,1.0,0.17671134504409727,0.053276797175202735,0.08859915698310165,0.8962599511646901,0.8898045532212653
240,,48.0,471,,11520,,,24,21.50269731,,,,,,,,,,,
244,0.009999999776482582,48.0,474,0.003,11904,1475,0.006870087236166,25,21.494576419999994,-3.06537127494812,,,,,,,,,,
248,,48.0,474,,11904,,,25,21.494576419999994,,,,,,,,,,,
252,0.009999999776482582,48.0,472,0.003,12288,1523,0.006809147074818611,26,21.51074755999999,-3.0803465843200684,0.6064162335346261,0.04365063986847981,0.0,0.7153916118965724,1.0,0.13889343416030922,0.04895627966586619,0.0720030100342442,0.8959427376780382,0.88969023516185
256,,48.0,471,,12288,,,26,21.51074755999999,,,,,,,,,,,
260,0.009999999776482582,48.0,475,0.003,12672,1571,0.010729881934821606,26,21.504760500000003,-3.2504725456237793,,,,,,,,,,
264,,48.0,475,,12672,,,26,21.504760500000003,,,,,,,,,,,
268,0.009999999776482582,48.0,473,0.003,13056,1619,0.007057760376483202,27,21.486967909999997,-3.331785202026367,0.6228753978933061,0.05229078555182855,0.0,0.7235126450006709,1.0,0.15812421005100424,0.04259628419223485,0.06751299998864851,0.8803809526612971,0.901404477104431
272,,48.0,472,,13056,,,27,21.486967909999997,,,,,,,,,,,
276,0.009999999776482582,48.0,476,0.003,13440,1667,0.003438372630625963,28,21.47886673,-3.4063491821289062,,,,,,,,,,
280,,48.0,475,,13440,,,28,21.47886673,,,,,,,,,,,
284,0.009999999776482582,48.0,473,0.003,13824,1715,0.004383404739201069,29,21.460875229999996,-3.499779224395752,0.6128838051724897,0.05337414283064698,0.0,0.7937878446572548,1.0,0.16050273002994428,0.041395782500358205,0.07274527160604292,0.8949300328677205,0.8889541761870974
288,,48.0,473,,13824,,,29,21.460875229999996,,,,,,,,,,,
292,0.009999999776482582,48.0,476,0.003,14208,1763,0.0050331056118011475,29,21.43750506,-3.464665651321411,,,,,,,,,,
296,,48.0,476,,14208,,,29,21.43750506,,,,,,,,,,,
300,0.009999999776482582,48.0,474,0.003,14592,1811,0.006637956947088242,30,21.40931005,-3.4965646266937256,0.6171372852644996,0.067525041359271,0.03798357034142275,0.7713125764976609,0.9945175438596491,0.14844866255491732,0.07391985438756603,0.06711447908347104,0.8825447776477355,0.8824521280936519
304,,48.0,473,,14592,,,30,21.40931005,,,,,,,,,,,
308,0.009999999776482582,48.0,476,0.003,14976,1859,0.006162073463201523,31,21.40922923,-3.7315080165863037,,,,,,,,,,
312,,48.0,476,,14976,,,31,21.40922923,,,,,,,,,,,
316,0.009999999776482582,48.0,474,0.003,15360,1907,0.005964956246316433,32,21.397804859999997,-3.727203607559204,0.6329156400328766,0.06535987088715604,0.0,0.7326146051244726,1.0,0.15423605074471547,0.04040888251056567,0.06938411963823056,0.9011239967165352,0.8646790630618607
320,,48.0,474,,15360,,,32,21.397804859999997,,,,,,,,,,,
324,0.009999999776482582,48.0,477,0.003,15744,1955,0.008097980171442032,32,21.41461069,-3.803701877593994,,,,,,,,,,
328,,48.0,477,,15744,,,32,21.41461069,,,,,,,,,,,
332,0.009999999776482582,48.0,475,0.003,16128,2003,0.0037212090101093054,33,21.41962977,-3.8676748275756836,0.6072259944764514,0.06351359935531287,0.0,0.7538299357057484,1.0,0.200719188834792,0.05864240462985504,0.08789281690967178,0.8904704838980625,0.8850047809392293
336,,48.0,474,,16128,,,33,21.41962977,,,,,,,,,,,
340,0.009999999776482582,48.0,477,0.003,16512,2051,0.0065449862740933895,34,21.436380470000003,-3.9695560932159424,,,,,,,,,,
344,,48.0,477,,16512,,,34,21.436380470000003,,,,,,,,,,,
348,0.009999999776482582,48.0,468,0.003,16896,2099,0.005782685242593288,36,21.43780163,-3.9866459369659424,0.5992832611014614,0.04762686370226038,0.0,0.7596411550184552,1.0,0.16670605755660833,0.04727600212910131,0.07407178474214655,0.8907001673556512,0.8972402946944826
352,,48.0,468,,16896,,,36,21.43780163,,,,,,,,,,,
356,0.009999999776482582,48.0,470,0.003,17280,2147,0.005941249895840883,36,21.394371980000003,-4.133203506469727,,,,,,,,,,
360,,48.0,470,,17280,,,36,21.394371980000003,,,,,,,,,,,
364,0.009999999776482582,48.0,469,0.003,17664,2195,0.007487328723073006,37,21.411208919999993,-4.1845502853393555,0.6041894904967628,0.04280756062830665,0.0,0.7512897110368175,1.0,0.14534875648173814,0.038907795566712956,0.06933060903193397,0.8934957626512263,0.8944515746122191
368,,48.0,469,,17664,,,37,21.411208919999993,,,,,,,,,,,
372,0.009999999776482582,48.0,472,0.003,18048,2243,0.010036113671958447,38,21.410360260000008,-4.188024520874023,,,,,,,,,,
376,,48.0,471,,18048,,,38,21.410360260000008,,,,,,,,,,,
380,0.009999999776482582,48.0,470,0.003,18432,2291,0.003925300668925047,39,21.40903476,-4.229024887084961,0.6229861138924645,0.05459674463777636,0.0,0.7338530680007731,1.0,0.18212519633140276,0.04542115755427235,0.07848823614604833,0.9007632183166591,0.8768097760381218
384,,48.0,470,,18432,,,39,21.40903476,,,,,,,,,,,
388,0.009999999776482582,48.0,472,0.003,18816,2339,0.004088955000042915,39,21.44706067,-4.5462164878845215,,,,,,,,,,
392,,48.0,472,,18816,,,39,21.44706067,,,,,,,,,,,
396,0.009999999776482582,48.0,470,0.003,19200,2387,0.005352424923330545,40,21.44987837,-4.4981279373168945,0.6216991581731838,0.04164940957151542,0.0,0.7493173738784586,1.0,0.15099759043313676,0.04415974584321094,0.06874571065500779,0.8936835343121673,0.8899515893649769
400,,48.0,470,,19200,,,40,21.44987837,,,,,,,,,,,
404,0.009999999776482582,48.0,472,0.003,19584,2435,0.007270684000104666,41,21.473497929999997,-4.564034461975098,,,,,,,,,,
408,,48.0,472,,19584,,,41,21.473497929999997,,,,,,,,,,,
412,0.009999999776482582,48.0,474,0.003,19968,2483,0.002404975239187479,42,21.486066709999996,-4.486483097076416,,,,,,,,,,
416,,48.0,474,,19968,,,42,21.486066709999996,,,,,,,,,,,
420,0.009999999776482582,48.0,473,0.003,20352,2531,0.0038457014597952366,42,21.491309029999993,-4.5850605964660645,0.6038007278384369,0.04261867037258744,0.0,0.7503819882522691,1.0,0.14411671219629,0.039663406760904574,0.06804713734241692,0.9005787662695056,0.8882596957095502
424,,48.0,473,,20352,,,42,21.491309029999993,,,,,,,,,,,
428,0.009999999776482582,48.0,475,0.003,20736,2579,0.00498402863740921,43,21.489485200000004,-4.610885143280029,,,,,,,,,,
432,,48.0,475,,20736,,,43,21.489485200000004,,,,,,,,,,,
436,0.009999999776482582,48.0,474,0.003,21120,2627,0.006133116781711578,44,21.465263089999993,-4.500157833099365,0.6169422111644939,0.04457901935579355,0.0,0.7907296519759617,1.0,0.13010173033728473,0.03543508118219443,0.06565671149359881,0.8947951706685989,0.8890094077972204
440,,48.0,473,,21120,,,44,21.465263089999993,,,,,,,,,,,
444,0.009999999776482582,48.0,475,0.003,21504,2675,0.012007245793938637,45,21.446426700000007,-4.801511287689209,,,,,,,,,,
448,,48.0,475,,21504,,,45,21.446426700000007,,,,,,,,,,,
452,0.009999999776482582,48.0,473,0.003,21888,2723,0.005307923071086407,46,21.439643899999997,-4.960131645202637,0.6230684585057029,0.04651755941878179,0.0,0.800209289024644,1.0,0.15752534939605797,0.03907263174736765,0.06861193627353782,0.8920042306174228,0.8886838484438785
456,,48.0,473,,21888,,,46,21.439643899999997,,,,,,,,,,,
460,0.009999999776482582,48.0,475,0.003,22272,2771,0.008143466897308826,46,21.435222470000003,-4.952230453491211,,,,,,,,,,
464,,48.0,475,,22272,,,46,21.435222470000003,,,,,,,,,,,
468,0.009999999776482582,48.0,474,0.003,22656,2819,0.007463550195097923,47,21.42775545,-5.117881774902344,0.5981053779806699,0.039697916416145174,0.0,0.7748358106995983,1.0,0.12965257653361872,0.03640803137141952,0.06772157345189402,0.8920973501024605,0.8952222432064237
472,,48.0,474,,22656,,,47,21.42775545,,,,,,,,,,,
476,0.009999999776482582,48.0,476,0.003,23040,2867,0.008975036442279816,48,21.4281531,-5.053144454956055,,,,,,,,,,
480,,48.0,476,,23040,,,48,21.4281531,,,,,,,,,,,
484,0.009999999776482582,48.0,475,0.003,23424,2915,0.005544883199036121,49,21.43084473,-5.204902648925781,0.6193596053126272,0.0397384241530043,0.0,0.8085263642382515,1.0,0.16215920250137258,0.048475733445000474,0.06758929647784778,0.8900174533215511,0.8947862449612624
488,,48.0,474,,23424,,,49,21.43084473,,,,,,,,,,,
492,0.009999999776482582,48.0,476,0.003,23808,2963,0.004413625691086054,49,21.432865990000003,-5.23380184173584,,,,,,,,,,
496,,48.0,476,,23808,,,49,21.432865990000003,,,,,,,,,,,
500,0.009999999776482582,48.0,472,0.003,24192,3011,0.0034924119245260954,51,21.44159427,-5.319299221038818,0.6058265744820299,0.05167026573411275,0.0,0.7843016948888147,1.0,0.16850064717300728,0.04739263900642324,0.07403709935261457,0.8901388424381109,0.8923086781546248
504,,48.0,471,,24192,,,51,21.44159427,,,,,,,,,,,
508,0.009999999776482582,48.0,473,0.003,24576,3059,0.008756216615438461,51,21.43783178,-5.391664028167725,,,,,,,,,,
512,,48.0,473,,24576,,,51,21.43783178,,,,,,,,,,,
516,0.009999999776482582,48.0,472,0.003,24960,3107,0.004264176823198795,52,21.441073059999997,-5.5493364334106445,0.6052775174143813,0.052733798293999615,0.0,0.804129851437918,1.0,0.17702063210831198,0.05455783860800569,0.07184328325877781,0.8851242659640963,0.8926726837202681
520,,48.0,472,,24960,,,52,21.441073059999997,,,,,,,,,,,
524,0.009999999776482582,48.0,474,0.003,25344,3155,0.007831921800971031,53,21.432683120000007,-5.552321434020996,,,,,,,,,,
528,,48.0,474,,25344,,,53,21.432683120000007,,,,,,,,,,,
532,0.009999999776482582,48.0,473,0.003,25728,3203,0.005638661794364452,54,21.463680059999998,-5.577045440673828,0.6290668397692055,0.07856623446729483,0.0,0.8022059959677668,1.0,0.20971302343512063,0.05652885854235259,0.09162767547123532,0.8755984146365505,0.8697587022631224
536,,48.0,473,,25728,,,54,21.463680059999998,,,,,,,,,,,
540,0.009999999776482582,48.0,474,0.003,26112,3251,0.0037978854961693287,54,21.46474045,-5.649365425109863,,,,,,,,,,
544,,48.0,474,,26112,,,54,21.46474045,,,,,,,,,,,
548,0.009999999776482582,48.0,473,0.003,26496,3299,0.00890832394361496,55,21.478992200000004,-5.367447853088379,0.6113205320336338,0.053482680770118,0.0,0.7604351582228788,1.0,0.1877087588158312,0.03853312721676018,0.07341717489408121,0.8928840438311605,0.8942198986565051
552,,48.0,473,,26496,,,55,21.478992200000004,,,,,,,,,,,
556,0.009999999776482582,48.0,474,0.003,26880,3347,0.004634726792573929,56,21.479427110000007,-5.818087577819824,,,,,,,,,,
560,,48.0,474,,26880,,,56,21.479427110000007,,,,,,,,,,,
564,0.009999999776482582,48.0,473,0.003,27264,3395,0.011579927988350391,57,21.48630902,-5.8551788330078125,0.5962280076984293,0.07283426724069005,0.0,0.7969857834692771,1.0,0.21314944096249538,0.055122672970519385,0.08317264732156197,0.8862571629323929,0.8922650317411721
568,,48.0,473,,27264,,,57,21.48630902,,,,,,,,,,,
572,0.009999999776482582,48.0,475,0.003,27648,3443,0.006531260907649994,58,21.49514769,-5.895667552947998,,,,,,,,,,
576,,48.0,475,,27648,,,58,21.49514769,,,,,,,,,,,
580,0.009999999776482582,48.0,474,0.003,28032,3491,0.004412046633660793,59,21.470566919999996,-5.831202030181885,0.6144047780349516,0.05648196779734345,0.03798357034142275,0.8088270362195571,0.9945175438596491,0.224552473544032,0.08118863984451843,0.0828696568351983,0.8850658874720134,0.8860045126161484
584,,48.0,474,,28032,,,59,21.470566919999996,,,,,,,,,,,
588,0.009999999776482582,48.0,475,0.003,28416,3539,0.005660645198076963,59,21.47105128,-5.8212890625,,,,,,,,,,
592,,48.0,475,,28416,,,59,21.47105128,,,,,,,,,,,
596,0.009999999776482582,48.0,474,0.003,28800,3587,0.005745804402977228,60,21.489829989999997,-5.998875617980957,0.6199019238049401,0.04804078652379351,0.0,0.8108248786919838,1.0,0.1900811870078868,0.04244348466452726,0.07509901253373226,0.873470324459287,0.9082096002195034
600,,48.0,474,,28800,,,60,21.489829989999997,,,,,,,,,,,
604,0.009999999776482582,48.0,475,0.003,29184,3635,0.0039497544057667255,61,21.486190909999994,-6.013340473175049,,,,,,,,,,
608,,48.0,475,,29184,,,61,21.486190909999994,,,,,,,,,,,
612,0.009999999776482582,48.0,476,0.003,29568,3683,0.006206482648849487,61,21.475940740000002,-6.221487998962402,,,,,,,,,,
616,,48.0,476,,29568,,,61,21.475940740000002,,,,,,,,,,,
620,0.009999999776482582,48.0,476,0.003,29952,3731,0.0029639804270118475,62,21.467129420000006,-6.134326934814453,0.6033377136730323,0.048895638717129895,0.0,0.8137533911289868,1.0,0.1705152642652281,0.03462384929541224,0.07305059293367278,0.8962772705714721,0.8921675173258982
624,,48.0,475,,29952,,,62,21.467129420000006,,,,,,,,,,,
628,0.009999999776482582,48.0,477,0.003,30336,3779,0.002664359286427498,63,21.437884880000002,-6.052326202392578,,,,,,,,,,
632,,48.0,477,,30336,,,63,21.437884880000002,,,,,,,,,,,
636,0.009999999776482582,48.0,476,0.003,30720,3827,0.008124738931655884,64,21.441454309999994,-6.088984966278076,0.6048272887549934,0.03800611570650734,0.0,0.8300906739325806,1.0,0.1491438005181366,0.0409183705181449,0.06740711429795139,0.88733943244527,0.8889160681399234
640,,48.0,476,,30720,,,64,21.441454309999994,,,,,,,,,,,
644,0.009999999776482582,48.0,477,0.003,31104,3875,0.00718211755156517,65,21.449969369999994,-6.470453262329102,,,,,,,,,,
648,,48.0,477,,31104,,,65,21.449969369999994,,,,,,,,,,,
652,0.009999999776482582,48.0,474,0.003,31488,3923,0.005444144830107689,66,21.451866880000008,-6.409071922302246,0.6018368314635998,0.052842389260595535,0.0,0.7719566131994082,1.0,0.16662672664574563,0.06662725098532955,0.0748401354109231,0.8980665703806749,0.8887863745149989
656,,48.0,474,,31488,,,66,21.451866880000008,,,,,,,,,,,
660,0.009999999776482582,48.0,475,0.003,31872,3971,0.0051840683445334435,67,21.465591640000003,-6.471993446350098,,,,,,,,,,
664,,48.0,475,,31872,,,67,21.465591640000003,,,,,,,,,,,
668,0.009999999776482582,48.0,474,0.003,32256,4019,0.004509403370320797,67,21.46836078,-6.333308219909668,0.6255283746504304,0.07906665474181877,0.09212525778814394,0.7883033719251001,0.9736842105263158,0.22399386333290314,0.1336393537373615,0.09379478249357176,0.8694118454129519,0.8630363651339575
672,,48.0,474,,32256,,,68,21.46836078,,,,,,,,,,,
676,0.009999999776482582,48.0,475,0.003,32640,4067,0.0030095383990556,68,21.471732719999995,-6.576017379760742,,,,,,,,,,
680,,48.0,475,,32640,,,68,21.471732719999995,,,,,,,,,,,
684,0.009999999776482582,48.0,474,0.003,33024,4115,0.007697402499616146,69,21.46630544999999,-6.498928546905518,0.6177283410905554,0.05308112562491116,0.0,0.7836462372072756,1.0,0.16869895752342975,0.043515979997830294,0.0798695140335158,0.8865940313547649,0.8907517002208579
688,,48.0,474,,33024,,,69,21.46630544999999,,,,,,,,,,,
692,0.009999999776482582,48.0,475,0.003,33408,4163,0.003589403349906206,70,21.47903813,-6.426617622375488,,,,,,,,,,
696,,48.0,475,,33408,,,70,21.47903813,,,,,,,,,,,
700,0.009999999776482582,48.0,474,0.003,33792,4211,0.005817013792693615,71,21.484856770000007,-6.764949321746826,0.6240722526494308,0.09876371056946977,0.0,0.7924063172528589,1.0,0.22055321760241886,0.07165700532289766,0.09931936260497483,0.8640973456649556,0.8842382274983568
704,,48.0,474,,33792,,,71,21.484856770000007,,,,,,,,,,,
